task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,1.1604759693145752,0.0,0.0,0.0,0.0,0.0,0.5,0.008159934720522236,0.0,0.8159934720522236,Naive
2,0.6348915100097656,0.0,0.0,0.0,0.0,0.0,0.5,0.027258775307280984,0.0,2.7258775307280985,Naive
3,0.6118869781494141,0.0,0.0,0.0,0.0,0.0,0.5,0.04602451266133525,0.0,4.602451266133524,Naive
4,0.607478141784668,0.0,0.0,0.0,0.0,0.0,0.5,0.06221173133828445,0.0,6.221173133828445,Naive
5,0.6335241794586182,0.0,0.0,0.0,0.0,0.0,0.5,0.07640370580607189,0.0,7.640370580607188,Naive
6,0.592698335647583,0.0,0.0,0.0,0.0,0.0,0.5,0.09796002597076964,0.0,9.796002597076964,Naive
7,0.6142549514770508,0.0,0.0,0.0,0.0,0.0,0.5,0.10262004192634308,0.0,10.262004192634308,Naive
8,0.608851432800293,0.0,0.0,0.0,0.0,0.0,0.5,0.10169303775927961,0.0,10.16930377592796,Naive
9,0.6314423084259033,0.0,0.0,0.0,0.0,0.0,0.5,0.09529334092662478,0.0,9.529334092662477,Naive
10,0.637352466583252,0.0,0.0,0.0,0.0,0.0,0.5,0.0933304204962014,0.0,9.333042049620138,Naive
