task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,8.032904624938965,0.0,0.0,0.0,0.49794523178553596,0.4999614376060466,0.4998843128181398,0.008108935128518973,0.0,0.9999228752120932,-0.0007908525452366389,Naive,True
2,7.162467002868652,0.1608506179723585,0.10639310914285051,0.42460068522897265,0.5440800510581653,0.650760242737584,0.5850227027658335,0.07407640005931725,0.6040123370179128,0.8769198002461953,0.15766153464731594,Naive,False
3,6.981760740280151,0.26514712666662615,0.1825133928183582,0.6279154848522218,0.5871260805040057,0.7369024286995091,0.6980921966064323,0.15218673929522433,0.7265758074373583,0.8458893725467965,0.26615101423900894,Naive,False
4,6.779414176940918,0.1882738192843525,0.11247830534374861,0.7270938172678838,0.45082835512844066,0.6464262401345294,0.7294651297973115,0.20925308831451842,0.6405320771560118,0.5657586630011752,0.15876741894228985,Naive,False
5,7.274999141693115,0.22185255179707272,0.13430433271582848,0.7630603351995884,0.46341375212676483,0.6590751764362078,0.7588530350024321,0.2689486651811078,0.6487775244630953,0.5550900176728273,0.18414150729757697,Naive,False
6,6.613867521286011,0.26868030440384394,0.17240691325521887,0.772272973164343,0.4896768395952192,0.6686572385310933,0.7646207804058802,0.30053911570761777,0.6588663089914215,0.5650415038978436,0.21247305443036327,Naive,False
7,7.127883672714233,0.28551312463003015,0.18347984989705793,0.7837177252142759,0.5005878903976434,0.6774373209438865,0.7705199877067563,0.30233176716085525,0.6675726086677921,0.5711569166734972,0.22695891003485055,Naive,False
8,7.02396297454834,0.2869917599729297,0.18309869349230257,0.7913441776536595,0.5030463993083014,0.683106202898307,0.7732519734940456,0.2934928841023826,0.673180549219093,0.5748682281429548,0.23136017407718942,Naive,False
9,7.575307846069336,0.2704350775709122,0.17112947290742608,0.793914784359814,0.4931310599849461,0.6819479439816961,0.7682561760449421,0.27088761600488126,0.6714462901165337,0.5699811036035785,0.22154640841138687,Naive,False
10,7.3347861766815186,0.2546121914969142,0.1606952259776943,0.7495943959712259,0.4858183159670032,0.6614002545225915,0.7388836483481389,0.25399794424467426,0.6502591464420779,0.5732061130739573,0.19685427223939733,Naive,False
