task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,3.5338613986968994,0.0,0.0,0.0,0.0,0.0,0.5,0.008159934720522236,0.0,0.8159934720522236,EWC
2,2.930802345275879,0.0,0.0,0.0,0.0,0.0,0.4999742904154669,0.027258775307280984,0.0,2.7259285303201017,EWC
3,2.8769161701202393,0.0,0.0,0.0,0.0,0.0,0.49998286027697797,0.04602451266133525,0.0,4.602485265861527,EWC
4,2.86539363861084,0.0,0.0,0.0,0.0,0.0,0.4998447221162029,0.06221173133828445,0.0,6.22145192643093,EWC
5,3.070814371109009,0.0,0.0,0.0,0.0,0.0,0.4996695617554163,0.07640370580607189,0.0,7.640925586088565,EWC
6,2.840561628341675,0.0,0.0,0.0,0.0,0.0,0.4993732291736903,0.09796002597076964,0.0,9.797023315360887,EWC
7,3.0540106296539307,0.0,0.0,0.0,0.0,0.0,0.4993981412434585,0.10262004192634308,0.0,10.262963375520737,EWC
8,3.042658567428589,0.0,0.0,0.0,0.0,0.0,0.4994362889361274,0.10169303775927961,0.0,10.170210169042349,EWC
9,3.2127034664154053,0.0,0.0,0.0,0.0,0.0,0.4994045883259107,0.09529334092662478,0.0,9.530320126213095,EWC
10,3.1542694568634033,0.0,0.0,0.0,0.0,0.0,0.4993871471992473,0.0933304204962014,0.0,9.334048075641121,EWC
