task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.345435857772827,0.05825242718446602,0.030303030303030304,0.75,0.5018637065658137,0.8237726787620063,0.9218916755602988,0.06261940647659077,0.8204626854056251,0.8975453575240128,0.13730815834300042,EWC,True
2,5.028745651245117,0.08524866257182484,0.04605039155600953,0.6805555555555556,0.5041074942486753,0.7709010144334141,0.8811563309733823,0.06516519537004602,0.765243538895576,0.8612464733112726,0.14465260143057734,EWC,False
3,7.158946514129639,0.2556366270658204,0.1789722788745749,0.7552910052910052,0.5641657386304483,0.7726540581512418,0.8692860452545029,0.2092651571466091,0.7653063619877928,0.7900171110114783,0.25329352122294385,EWC,False
4,7.1192545890808105,0.3410945589069603,0.2455499638729123,0.7933913308913308,0.5834514126330693,0.7605302070749698,0.8422620099024156,0.2687132102251467,0.7491085016163856,0.7276690832586087,0.2932137976835952,EWC,False
5,7.16094183921814,0.3892021777378131,0.2796516499304466,0.8279334036961155,0.6043213803372011,0.7714208897733499,0.8515281440794128,0.32095084046816463,0.7594569145349392,0.7149083758505844,0.3354132055582733,EWC,False
6,6.969767808914185,0.4000484359935324,0.28545463760408996,0.8264906878190521,0.6066033869824404,0.7664030734257005,0.8411841102326134,0.3164151212289274,0.7557697518276836,0.7063154590323489,0.3391895733513353,EWC,False
7,7.308213233947754,0.39728495109745504,0.2803286393138842,0.823020275587445,0.600850207860954,0.7585899912456486,0.8301673581873292,0.30827802301726537,0.7486506291762198,0.6941597069038524,0.3325087780090498,EWC,False
8,7.453396558761597,0.37453732049225913,0.26243334011198227,0.7826427411390144,0.5882926202809681,0.7375009880614041,0.8145894669497548,0.28815090883936045,0.7279280517796175,0.6923592349837937,0.30471068003586854,EWC,False
9,7.693388938903809,0.3354119475026119,0.23453670636216606,0.7845713254569017,0.5704280442752125,0.7396573110253416,0.8204434835544172,0.2799852333460844,0.7310116287229184,0.6947432965937815,0.2789028188027116,EWC,False
10,7.231852293014526,0.32515842398522743,0.2299719246148383,0.7364713357683544,0.5680811846452711,0.7221796751609026,0.8142108795617906,0.2757654737684173,0.707991183010952,0.707888014553451,0.2616895792279207,EWC,False
