task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.402612209320068,0.03347280334728033,0.017316017316017316,0.5,0.48397044422683166,0.6894343649946638,0.8378468516542156,0.12261930637672849,0.6628984575292537,0.8788687299893276,0.07511713620504482,EWC,True
2,4.925037860870361,0.061949685534591195,0.03291218763088091,0.5833333333333333,0.47863181792750054,0.6996676354572893,0.8479813039817369,0.10376016786334444,0.6857656628014248,0.8160019375812453,0.10251780038478014,EWC,False
3,6.777209520339966,0.2514282861991757,0.17953783030267345,0.7040816326530611,0.5566468854495777,0.7358602873815671,0.8620263880466948,0.2743407430131754,0.7226746878738285,0.7676389421100729,0.24354296674846812,EWC,False
4,6.779651641845703,0.3442639444161856,0.25565550492316713,0.7463304552590266,0.588235357168531,0.7387642059207906,0.8456505051865459,0.33344402401464346,0.7262179711937127,0.7311979565825546,0.29492487432883496,EWC,False
5,7.0802717208862305,0.4226424258912546,0.3241011235152533,0.7885897879360348,0.6350098232976329,0.7708076900464175,0.859294670293113,0.3867071369106269,0.7603877177219788,0.7530255921568,0.37264948106650186,EWC,False
6,6.822109937667847,0.4373084045547689,0.33038577713373285,0.8017364698663744,0.6400483227404352,0.7739637433809846,0.8510860406874393,0.37413730130880923,0.7646414062552429,0.7461910168955949,0.3831992166149676,EWC,False
7,6.893937349319458,0.43069537148287607,0.3199579953071748,0.8033722331978657,0.6308654661754444,0.7665950486519321,0.840576259545853,0.3574816858518453,0.7577859345058469,0.7298178641059987,0.3724270733594772,EWC,False
8,6.802039384841919,0.40228948453027524,0.2957217929023249,0.7687989183338467,0.6115469043794208,0.7429349930936435,0.8133781254563595,0.3270277633458948,0.7349500811349183,0.7170710678534403,0.3373735363837767,EWC,False
9,7.011008977890015,0.359368430693578,0.26376471681407865,0.7500434829634193,0.5901239375809334,0.7325083710539989,0.8016430227138481,0.2996110193790159,0.7252040750373082,0.7149732591445785,0.3044916149082314,EWC,False
10,6.94934344291687,0.36866968286231544,0.2713168165612422,0.7428962775242203,0.5978632445031121,0.7343765815676466,0.8051067929839171,0.3045724626832186,0.7274508799627015,0.725856885611073,0.31220102599859645,EWC,False
