task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.565790414810181,0.17391304347826086,0.13333333333333333,0.25,0.5844170937786921,0.6215314834578443,0.7654749199573105,0.03709431346588332,0.4982627235996308,0.9930629669156884,0.17784055008575342,Naive,True
2,5.074105262756348,0.08695652173913043,0.06666666666666667,0.125,0.5380244464709361,0.5570969786261968,0.6332747913570054,0.028585113810106207,0.2491313617998154,0.9891939572523935,0.08061768999827676,Naive,False
3,6.839731693267822,0.06920696954893339,0.07670250896057347,0.09013605442176871,0.5038724604305791,0.5315580157925385,0.6203527663839178,0.108834162907867,0.2122695083772119,0.9729799771633084,0.028361377210570745,Naive,False
4,6.846318006515503,0.1090082912285524,0.16106223525578364,0.10702511773940346,0.5074274248927935,0.5320519253059424,0.6519394646294498,0.19451957795290803,0.2538730885202305,0.9570787328724812,0.045559140997012026,Naive,False
5,7.154628276824951,0.18768972477028154,0.24570372078889657,0.17375568741186176,0.5456839954919505,0.5619362276112259,0.6803269823954042,0.25024098003487355,0.330601190219922,0.9501167678105901,0.1175951301730255,Naive,False
6,6.908843517303467,0.2355041491729747,0.2792211857637968,0.2291337555741418,0.568720200242851,0.5839560450248545,0.7077016059039748,0.27540731796475354,0.38685089780152554,0.9387783344755674,0.15955104510710885,Naive,False
7,7.0386998653411865,0.258904350084772,0.2810293267388019,0.28666723790185467,0.5756896757745669,0.5999011363885642,0.7182656068299932,0.27649584885114165,0.4305362572927939,0.9131350348752737,0.1787718657596489,Naive,False
8,7.001866340637207,0.263775348877367,0.2703420016785746,0.3289588331641229,0.574279401513768,0.6100974684073276,0.7238880287366887,0.2718599702790535,0.4616102159548441,0.8912361036505323,0.18522859755537016,Naive,False
9,7.21600079536438,0.23536666189009317,0.24076313831483948,0.3146300739236648,0.5602750154521832,0.5979649280579754,0.7045113775848793,0.2422848004418963,0.4548148638707772,0.881299782192286,0.16467984549575707,Naive,False
10,7.154186248779297,0.2371633290344172,0.2368995904408023,0.3170956379598698,0.5599316369327337,0.5962041495378921,0.7059589844541577,0.2375366665614687,0.46212532569475123,0.8753126611159147,0.16121887270549734,Naive,False
