task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,2.1900687217712402,0.05714285714285714,0.037037037037037035,0.125,0.5241466498103666,0.5555629669156883,0.9070837780149413,0.026155725866587088,0.3510922125723128,0.9861259338313767,0.06079829093448705,LwF,True
2,2.4134466648101807,0.11218724778046811,0.065359477124183,0.3958333333333333,0.5382210674038161,0.6660892098427337,0.9143255780363705,0.19730825510177977,0.5615654578751386,0.9363450863521341,0.14110811177546592,LwF,False
3,2.3357181549072266,0.3139628732849072,0.24808184143222503,0.5518707482993197,0.6261699515169656,0.7264085062599607,0.9218498397468514,0.4138195657283825,0.6566698122807887,0.9009462642206018,0.3027902149504443,LwF,False
4,2.3267171382904053,0.40324624134241793,0.3337221997876191,0.608133830455259,0.6578550744397809,0.7395780143103551,0.9089685096178308,0.48318746974053284,0.6872732428543863,0.8710221981654513,0.3573959574140967,LwF,False
5,2.3548033237457275,0.4779083483852896,0.4037519533784824,0.6661680813133598,0.6972730705408356,0.7711988022758016,0.918564923062446,0.5549967481686178,0.7293549418560852,0.8762295232382435,0.4304415224252479,LwF,False
6,2.302983283996582,0.5029401525800279,0.4161245313793433,0.7077505095282014,0.7074306123287255,0.7866201713816983,0.9182342559672197,0.556502055543679,0.7514898126009525,0.8654898332351953,0.4549882680049239,LwF,False
7,2.3448586463928223,0.5019698336224144,0.40592870508562856,0.7330169202549419,0.7017478019633542,0.7900026238349495,0.9154297536302343,0.5562381423491609,0.7594029860336369,0.8469883274149572,0.4537242500756893,LwF,False
8,2.362189292907715,0.47682523043587277,0.3795297222130829,0.7239790909373598,0.684190243353008,0.777644754909266,0.9017374281430414,0.5217365304981345,0.7507863194890867,0.8313104188811722,0.42684236902279216,LwF,False
9,2.406186580657959,0.42543764011663404,0.3381707830864062,0.6879814141665421,0.6574579209598057,0.7565906593345522,0.877913410477474,0.4654103286749602,0.7292821596982124,0.8251999045025624,0.3824142578660206,LwF,False
10,2.315370798110962,0.4358740085553018,0.34645896793566033,0.6906118441784593,0.6637702350390531,0.7600982600677637,0.8785852193552367,0.45980738260522636,0.7351415251939831,0.8295846759570681,0.3911959218550761,LwF,False
