task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.7027137279510498,0.1,0.08333333333333333,0.125,0.5475961538461539,0.5595651013874066,0.9367662753468516,0.051346265065689733,0.3525142200633212,0.9941302027748132,0.09737337912581863,Naive,True
2,1.261826992034912,0.11257861635220126,0.06237266553480476,0.7222222222222222,0.5146337377092881,0.7849119810090189,0.8974616806267481,0.22377913077471967,0.7736236389778575,0.8476017397958157,0.17854498348614098,Naive,False
3,1.2370915412902832,0.2978049964225495,0.21315040447418354,0.798941798941799,0.5927763447462516,0.8019623498911607,0.9094083065562648,0.41584840270916973,0.7917264751562717,0.8049829008405225,0.31119582238405524,Naive,False
4,1.2457807064056396,0.3858710363902178,0.2867526521677327,0.8251678876678876,0.6214769290944845,0.7949212816491398,0.8962650690687235,0.4652113086937757,0.7844927459626417,0.7646746756303919,0.35754661547810523,Naive,False
5,1.2664241790771484,0.4608853813007264,0.3556591049744096,0.8516597338631235,0.6653072447346224,0.8178341909652312,0.9095244066794143,0.5336216788701442,0.8092363601472,0.7840086480673387,0.428464442199906,Naive,False
6,1.2396504878997803,0.47550633626912386,0.36061022975509743,0.8683509830385469,0.6692192439065323,0.8203695710711408,0.9101270357325225,0.5377249370594045,0.8117865721008527,0.7723881591037346,0.4401094416613384,Naive,False
7,1.2599689960479736,0.4674902795726689,0.34753038577986356,0.8800936212543903,0.6565772819704482,0.8135330215483939,0.9086530387770244,0.5309325375054372,0.8032054219254408,0.7469724218423975,0.43061494103633385,Naive,False
8,1.2853963375091553,0.4476418435587618,0.3277309386640205,0.8749926328833058,0.6417858084629571,0.8038781886683114,0.8970051602477667,0.5028352227582283,0.7939367023386282,0.7327637444533172,0.41157963474660453,Naive,False
9,1.2957327365875244,0.3994542485380208,0.29210070364906393,0.8444378958962717,0.6150994909610162,0.7841673080560428,0.8670843907255708,0.4480981752896766,0.775268221518728,0.7238967202158141,0.3696165654631449,Naive,False
10,1.2443015575408936,0.4019051370482741,0.2914620618555861,0.8421369634495017,0.6162842971863981,0.783131529631391,0.8630574684820495,0.43082673024750984,0.7749756926207056,0.7241260958132802,0.36994805216911847,Naive,False
