task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.7900433540344238,0.0,0.0,0.0,0.4989350372736954,0.5,0.914687833511206,0.03356674892845746,0.0,1.0,0.0,EWC,True
2,1.4033968448638916,0.0,0.0,0.0,0.49713107003871687,0.5,0.8596007784631654,0.039149144447790704,0.0,1.0,0.0,EWC,False
3,1.5571300983428955,0.0,0.0,0.0,0.4755896757099251,0.5,0.8618578611479815,0.23156458825309598,0.0,1.0,0.0,EWC,False
4,1.561819076538086,0.0,0.0,0.0,0.4605883606785477,0.5,0.8611112594694071,0.34972900046043276,0.0,1.0,0.0,EWC,False
5,1.584085464477539,0.0,0.0,0.0,0.4574426511596606,0.5,0.8757636829673073,0.42873271756538783,0.0,1.0,0.0,EWC,False
6,1.5623648166656494,0.0,0.0,0.0,0.4573680124085255,0.5,0.8838856308045089,0.46084037747074125,0.0,1.0,0.0,EWC,False
7,1.6128554344177246,0.0,0.0,0.0,0.4582582963501647,0.5,0.8849516978688099,0.4679517480006146,0.0,1.0,0.0,EWC,False
8,1.6312007904052734,0.0,0.0,0.0,0.46044570627609105,0.5,0.8758326897562473,0.44088480213522513,0.0,1.0,0.0,EWC,False
9,1.6765029430389404,0.0,0.0,0.0,0.4647266443057799,0.5,0.8527367667684852,0.3928966029291136,0.0,1.0,0.0,EWC,False
10,1.6227388381958008,0.0,0.0,0.0,0.46512897987520196,0.5,0.8564414609895052,0.4163692087121359,0.0,1.0,0.0,EWC,False
