task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.8430299758911133,0.0975609756097561,0.06060606060606061,0.25,0.543811376872834,0.6167289220917822,0.9407684098185699,0.15383267091876737,0.49584721542617455,0.9834578441835645,0.11572117429615937,EWC,True
2,1.408482313156128,0.14234104046242774,0.08051948051948052,0.6875,0.5445442322891364,0.7938365870602686,0.8905878460903196,0.2986090839025384,0.7635011190031357,0.9001731741205372,0.2111533423817796,EWC,False
3,2.2353456020355225,0.3289907190869111,0.2406715235983529,0.7712585034013606,0.6236128283175392,0.8141370825646387,0.9088409443867245,0.48201263249146203,0.7925330062987649,0.8570156617279165,0.34647474444574217,EWC,False
4,2.212442636489868,0.4109109553571623,0.3150245272196492,0.7890208006279436,0.6495287954992144,0.8041725234619406,0.896832781607351,0.5214978727092844,0.7872208842217748,0.8193242462959374,0.3847433693686472,EWC,False
5,2.245323896408081,0.48506679245474393,0.3857545615347555,0.8193522337226937,0.6909336434042326,0.8258511935309825,0.90997261211783,0.5735790081350349,0.8122032607411482,0.8323501533392708,0.45452568436876495,EWC,False
6,2.1878445148468018,0.5078968677280346,0.39846018529455746,0.8414280662548553,0.7008730730941047,0.8334751986816781,0.9102288410182439,0.5657493888915569,0.8214854610319257,0.8255223311085005,0.47522575000535094,EWC,False
7,2.231778144836426,0.5129646754947335,0.3968153569591045,0.851522329945292,0.7013664908185585,0.8347764669896874,0.9108790989364769,0.5667372457309651,0.824089328910918,0.8180306040340827,0.4792068256067327,EWC,False
8,2.239821672439575,0.4910894614282621,0.37572906233921644,0.8265552529878448,0.6883359525911223,0.8196191549763039,0.8974879818800893,0.5345780196379276,0.8099334720844619,0.8126830569647632,0.4543786124985394,EWC,False
9,2.274078369140625,0.4382159313306513,0.3348928721255619,0.7791602248780843,0.6612229078704362,0.7939491712146763,0.8654541179101655,0.47593019066381537,0.7819094574399873,0.8087381175512687,0.40699596232746066,EWC,False
10,2.2044389247894287,0.4307579745612225,0.33298253228142677,0.7441013452474188,0.6581604840456986,0.779792349331304,0.8620389844170433,0.4564697593426178,0.7649973990946377,0.8154833534151894,0.39310301622538313,EWC,False
