task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.8360071182250977,0.16666666666666666,0.09615384615384616,0.625,0.5765838732901368,0.7999599786552829,0.9663153681963714,0.3150389665536259,0.7805927064219237,0.9749199573105657,0.23812000323368193,EWC,True
2,1.4267172813415527,0.11873721134171294,0.06617498484542332,0.6875,0.5191581964609849,0.7699236238362765,0.8900340994038345,0.3137586783898241,0.745577749107248,0.8523472476725533,0.18172668137819808,EWC,False
3,2.314718246459961,0.30680041731723956,0.22155645377527589,0.7757936507936508,0.600362437869795,0.7951548251517954,0.9102934539710122,0.5033041747809134,0.7766686346163111,0.8145159995099399,0.3195691783642071,EWC,False
4,2.294849157333374,0.39141418160106833,0.2961673403314569,0.7943452380952382,0.6286866102425479,0.7877723688638465,0.8967164847090284,0.531013526519499,0.7727418666525386,0.7811994996324549,0.36025662371403644,EWC,False
5,2.3588271141052246,0.465512297661807,0.3642065995378928,0.8253066989507667,0.6713097867558793,0.8116877711771048,0.9085867221049473,0.5768145622457778,0.7994706726710648,0.798068843403443,0.4305781089337333,EWC,False
6,2.318549394607544,0.48582034718409567,0.37429403008086054,0.8463901206115828,0.6798306741735156,0.8188378795999318,0.9087158103537848,0.5693388088413913,0.8077323207092846,0.791285638588281,0.4490026875717048,EWC,False
7,2.370650291442871,0.48550908848252705,0.3674371094139759,0.8589152368193472,0.6755845466887008,0.81837665765181,0.9070476422584158,0.5583552326708255,0.807622180638064,0.777838078484273,0.448222107455706,EWC,False
8,2.4019994735717773,0.46249775738675014,0.34501410790537046,0.8464169036455003,0.659221632449522,0.8051413645718124,0.8924070548847417,0.5196981279100147,0.7955418592980854,0.7638658254981247,0.4240147028253802,EWC,False
9,2.4462575912475586,0.41297653130923073,0.30762617672396564,0.8190372476848891,0.6331115287855789,0.7886252919000906,0.8660814161762803,0.46312443043326645,0.7798217859821076,0.7582133361152921,0.3818049736015038,EWC,False
10,2.377513885498047,0.4191312600200832,0.31194799101167553,0.8103478086306859,0.6377183449383493,0.7873677824249738,0.8650504704235245,0.4477726525817779,0.7793258631138231,0.7643877562192618,0.3849362837635528,EWC,False
