task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.282196044921875,0.0,0.0,0.0,0.4979645134034872,0.5,0.4998843128181398,0.008108935128518973,0.0,1.0,0.0,Replay,True
2,4.7387988567352295,0.0,0.0,0.0,0.4927620848913713,0.5,0.663547395130333,0.07352016300901133,0.0,1.0,0.0,Replay,False
3,4.637658357620239,0.0,0.0,0.0,0.4880508630785434,0.5,0.7223428203160851,0.14489525770040856,0.0,1.0,0.0,Replay,False
4,4.5343358516693115,0.0,0.0,0.0,0.48353714046235097,0.5,0.7298530711169737,0.16641353792619332,0.0,1.0,0.0,Replay,False
5,4.8009138107299805,0.0,0.0,0.0,0.47972129099332933,0.5,0.729547697225517,0.19475651694770524,0.0,1.0,0.0,Replay,False
6,4.479666471481323,0.0,0.0,0.0,0.47325091862662383,0.5,0.7331457276828409,0.229040361205091,0.0,1.0,0.0,Replay,False
7,4.792779922485352,0.0,0.0,0.0,0.4719883117981175,0.5,0.7320049074427136,0.2318443985091562,0.0,1.0,0.0,Replay,False
8,4.725332736968994,0.0,0.0,0.0,0.4723999840909585,0.5,0.7243219277860591,0.22480018491569762,0.0,1.0,0.0,Replay,False
9,5.019142389297485,0.0,0.0,0.0,0.4741924954292216,0.5,0.7215818195347644,0.20928324522604155,0.0,1.0,0.0,Replay,False
10,4.854069232940674,0.0,0.0,0.0,0.47482315346485765,0.5,0.6958655221573924,0.1952033535401944,0.0,1.0,0.0,Replay,False
