task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.380694150924683,0.0,0.0,0.0,0.4979645134034872,0.5,0.7225071958882302,0.014547582280466688,0.0,1.0,0.0,EWC,True
2,4.922471046447754,0.12175289391076494,0.07300341034868425,0.4630483038170149,0.5053819431902642,0.6368686188723431,0.6351233234347716,0.06678296044181004,0.6055138367348507,0.8106889339276713,0.12006937367150813,EWC,False
3,4.781120538711548,0.2045008220758946,0.1347822019804651,0.5272173877298618,0.5470396908094849,0.6718031527765888,0.6984244297998307,0.13287009367307825,0.6493712074554981,0.8163889178233156,0.18945218284210905,EWC,False
4,4.692985534667969,0.24528500167018957,0.16574967516476594,0.5542497298354276,0.562005205428352,0.6792075842799776,0.7092299471031471,0.1609762548206245,0.6616038655509837,0.8041654387245276,0.2133089302301293,EWC,False
5,4.993826627731323,0.277455524711841,0.19342559291457756,0.5656220060905643,0.5753971278494696,0.683077001856648,0.7172003828638541,0.19213942533423678,0.6678951054312524,0.8005319976227316,0.23157950441091027,EWC,False
6,4.644700288772583,0.31028541538349264,0.22664549724763314,0.5712384855508522,0.5864101600600055,0.6817960146668905,0.7194859295414094,0.22525210677204113,0.6684295223729447,0.7923535437829287,0.24405735768513112,EWC,False
7,4.932938098907471,0.32294458280660143,0.23555164622791644,0.5815943004420339,0.5908372049776822,0.6844680721878119,0.7229255217032282,0.23326107287535353,0.6726818975954707,0.7873418439335899,0.25179029055750796,EWC,False
8,4.865657806396484,0.3145974629804468,0.22709794299705652,0.5763807678725346,0.5839747774976323,0.6777609752549312,0.7197537226489793,0.22558159075303635,0.6666246491388984,0.7791411826373276,0.24110661377158904,EWC,False
9,5.177890777587891,0.2976456825310541,0.21225485140096578,0.5797089982899151,0.5742591835683458,0.6763648778328878,0.7185488195472552,0.21024017642619952,0.6661759937268903,0.7730207573758602,0.23104717816710382,EWC,False
10,5.042120695114136,0.2781099164313807,0.19817222340372637,0.5397475771339093,0.5651108479200435,0.6582313021116161,0.6875766433718367,0.19607564276941114,0.6377513512440578,0.7767150270893225,0.20727370229457348,EWC,False
