task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.313117265701294,0.0,0.0,0.0,0.4979645134034872,0.5,0.49980718803023294,0.008108935128518973,0.0,1.0,0.0,LwF,True
2,6.998583078384399,0.0,0.0,0.0,0.4927620848913713,0.5,0.6513471595026875,0.07194370360536488,0.0,1.0,0.0,LwF,False
3,6.759639024734497,0.0,0.0,0.0,0.4880508630785434,0.5,0.6973401168762395,0.15337548547696336,0.0,1.0,0.0,LwF,False
4,6.634660243988037,0.0,0.0,0.0,0.48353714046235097,0.5,0.7047943670440393,0.17763066090336094,0.0,1.0,0.0,LwF,False
5,7.045871257781982,0.0,0.0,0.0,0.47972129099332933,0.5,0.7063255051579233,0.20465982690894502,0.0,1.0,0.0,LwF,False
6,6.569996356964111,0.0,0.0,0.0,0.47325091862662383,0.5,0.7079099316480487,0.23571162322386677,0.0,1.0,0.0,LwF,False
7,7.023597478866577,0.0,0.0,0.0,0.4719883117981175,0.5,0.7102874447093391,0.24155571228379755,0.0,1.0,0.0,LwF,False
8,6.905389308929443,0.0,0.0,0.0,0.4723999840909585,0.5,0.7042968061293347,0.23153369756426445,0.0,1.0,0.0,LwF,False
9,7.389728546142578,0.0,0.0,0.0,0.4741924954292216,0.5,0.7010370053272672,0.2161717856364433,0.0,1.0,0.0,LwF,False
10,7.187234878540039,0.0,0.0,0.0,0.47482315346485765,0.5,0.6759755309344039,0.20170418070960835,0.0,1.0,0.0,LwF,False
