task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.399705410003662,0.0,0.0,0.0,0.4979645134034872,0.5,0.6998332358359598,0.013134805121422264,0.0,1.0,0.0,EWC,True
2,5.034469842910767,0.0,0.0,0.0,0.4927620848913713,0.5,0.6301281958942597,0.08154922493437604,0.0,1.0,0.0,EWC,False
3,7.690414190292358,0.0,0.0,0.0,0.4880508630785434,0.5,0.6973958214566184,0.17437490365036223,0.0,1.0,0.0,EWC,False
4,7.538014650344849,0.0,0.0,0.0,0.48353714046235097,0.5,0.7129743823188639,0.20688993052334764,0.0,1.0,0.0,EWC,False
5,8.021221160888672,0.0,0.0,0.0,0.47972129099332933,0.5,0.7110003522019968,0.24169294309112538,0.0,1.0,0.0,EWC,False
6,7.46856689453125,0.0,0.0,0.0,0.47325091862662383,0.5,0.7168590486308788,0.2868458739777535,0.0,1.0,0.0,EWC,False
7,7.9033894538879395,0.0,0.0,0.0,0.4719883117981175,0.5,0.7210655462584931,0.2921045319760333,0.0,1.0,0.0,EWC,False
8,7.8066487312316895,0.0,0.0,0.0,0.4723999840909585,0.5,0.7192596847352816,0.28745436314933914,0.0,1.0,0.0,EWC,False
9,8.370474576950073,0.0,0.0,0.0,0.4741924954292216,0.5,0.7197387883073711,0.26916949720576794,0.0,1.0,0.0,EWC,False
10,8.095444202423096,0.0,0.0,0.0,0.47482315346485765,0.5,0.6888055557935583,0.2500515451949736,0.0,1.0,0.0,EWC,False
