task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.37064790725708,0.0,0.0,0.0,0.4979645134034872,0.5,0.7287226534419483,0.01762681537860036,0.0,1.0,0.0,EWC,True
2,4.802413702011108,0.13325180566559877,0.08222367711768917,0.4412247261496888,0.5187869877300257,0.638876424820092,0.6547850202773018,0.10303274924123412,0.5993776071888316,0.8365281234904952,0.13057355513418856,EWC,False
3,7.552537679672241,0.22849835500248317,0.15796731152010607,0.5104461137294222,0.5682635413449767,0.6791568766096033,0.7187045617026309,0.17933093940721942,0.6501163779979029,0.8478676394897845,0.21295357360265568,EWC,False
4,7.378533363342285,0.26878091411451127,0.18939385098701833,0.5383155696371114,0.583070962510779,0.6870438822750398,0.7302025655339373,0.20735446345106714,0.6638717472655205,0.8357721949129682,0.23699204055243855,EWC,False
5,7.781000852584839,0.3083058063196045,0.22772734062493033,0.5508544759117093,0.6020876032712346,0.6947957448963069,0.7379314267846101,0.24885797074495725,0.6740962736154181,0.8387370138809047,0.2649170429484168,EWC,False
6,7.2690746784210205,0.34279133946579265,0.2660700573809336,0.5572344175325364,0.6151282354076106,0.6958348577376586,0.7388274018083864,0.2760477836202207,0.6770873173137736,0.8344352979427808,0.28224572687660404,EWC,False
7,7.709528207778931,0.3558332666789604,0.27534609646970465,0.5676881657175983,0.6200204282908567,0.6989398316454446,0.7422606521197442,0.2837627255445482,0.6821115085328163,0.8301914975732911,0.29045811177094,EWC,False
8,7.580004692077637,0.3474503650285824,0.26558858597675356,0.5640348373105908,0.6135922974634014,0.6934833480509002,0.7351199341752332,0.27094370610870433,0.677446296389039,0.8229318587912097,0.2800991834252333,EWC,False
9,8.07875370979309,0.3278024617850318,0.24717272064548915,0.5664723943514954,0.6020621477688405,0.6907609956896671,0.7321173133826586,0.2509711627292513,0.6759313940940364,0.8150495970278386,0.26662550626410403,EWC,False
10,7.9101243019104,0.3064679987390587,0.23084396955224268,0.5278346335893317,0.5916478179009691,0.6727073311679068,0.6984463310924001,0.23289670283101516,0.6472411284805389,0.8175800287464821,0.24142842556366834,EWC,False
