task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.884793043136597,0.0,0.0,0.0,0.4979645134034872,0.5,0.6297919231429661,0.010791287140054895,0.0,1.0,0.0,Naive,True
2,6.105350732803345,0.1499756025969785,0.0963383943200437,0.4309945471215557,0.5348526571460928,0.6471703584351272,0.6384918541398565,0.09401638339989245,0.6030658545980251,0.8633461697486988,0.1473677780464582,Naive,False
3,9.101253986358643,0.0,0.0,0.0,0.4880508630785434,0.5,0.715977194804228,0.17548135484426652,0.0,1.0,0.0,Naive,False
4,8.947197675704956,0.0,0.0,0.0,0.48353714046235097,0.5,0.7279037289400083,0.20871377232137123,0.0,1.0,0.0,Naive,False
5,9.451773643493652,0.0,0.0,0.0,0.47972129099332933,0.5,0.7271560267573813,0.24302016954416591,0.0,1.0,0.0,Naive,False
6,8.890727996826172,0.0,0.0,0.0,0.47325091862662383,0.5,0.7321912592832326,0.2893205560551057,0.0,1.0,0.0,Naive,False
7,9.3625648021698,0.0,0.0,0.0,0.4719883117981175,0.5,0.7348424510313494,0.2934532533583621,0.0,1.0,0.0,Naive,False
8,9.249619007110596,0.0,0.0,0.0,0.4723999840909585,0.5,0.7279080027518062,0.2828013387950562,0.0,1.0,0.0,Naive,False
9,9.795662641525269,0.0,0.0,0.0,0.4741924954292216,0.5,0.727711463534551,0.26488151601449,0.0,1.0,0.0,Naive,False
10,9.538451910018921,0.0,0.0,0.0,0.47482315346485765,0.5,0.6979112259508109,0.24557998619574656,0.0,1.0,0.0,Naive,False
