task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,2.450502872467041,0.0,0.0,0.0,0.4989350372736954,0.5,0.790554962646745,0.010160488362052158,0.0,1.0,0.0,Naive,True
2,1.8399183750152588,0.0,0.0,0.0,0.49713107003871687,0.5,0.7570291701190864,0.02120379720707398,0.0,1.0,0.0,Naive,False
3,1.7109653949737549,0.0,0.0,0.0,0.4755896757099251,0.5,0.7287522437572895,0.11396617185478768,0.0,1.0,0.0,Naive,False
4,1.7546875476837158,0.0,0.0,0.0,0.4605883606785477,0.5,0.7027398138275825,0.1679782212693618,0.0,1.0,0.0,Naive,False
5,1.7742137908935547,0.0,0.0,0.0,0.4574426511596606,0.5,0.7065035101515745,0.19222367917573818,0.0,1.0,0.0,Naive,False
6,1.7219328880310059,0.0,0.0,0.0,0.4573680124085255,0.5,0.685131506743391,0.1878544438826265,0.0,1.0,0.0,Naive,False
7,1.7748003005981445,0.0,0.0,0.0,0.4582582963501647,0.5,0.6821426642795866,0.18582038151785854,0.0,1.0,0.0,Naive,False
8,1.7497577667236328,0.0,0.0,0.0,0.46044570627609105,0.5,0.6703058955893257,0.1754418815849138,0.0,1.0,0.0,Naive,False
9,1.829277515411377,0.0,0.0,0.0,0.4647266443057799,0.5,0.6576353504424157,0.1564884230878975,0.0,1.0,0.0,Naive,False
10,1.7251989841461182,0.0,0.0,0.0,0.46512897987520196,0.5,0.6677878454294297,0.16385338322653953,0.0,1.0,0.0,Naive,False
