task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.1391119956970215,0.0,0.0,0.0,0.4979645134034872,0.5,0.5287435353420702,0.008611263781996403,0.0,1.0,0.0,Naive,True
2,4.493196725845337,0.0,0.0,0.0,0.4927620848913713,0.5,0.5167100084727864,0.02880107144180568,0.0,1.0,0.0,Naive,False
3,4.2730872631073,0.0,0.0,0.0,0.4880508630785434,0.5,0.557388893949407,0.057375471707371485,0.0,1.0,0.0,Naive,False
4,4.15731143951416,0.0,0.0,0.0,0.48353714046235097,0.5,0.5484926537860911,0.07250003803084207,0.0,1.0,0.0,Naive,False
5,4.478002309799194,0.0,0.0,0.0,0.47972129099332933,0.5,0.5445516286759545,0.08599639274380433,0.0,1.0,0.0,Naive,False
6,4.115426063537598,0.0,0.0,0.0,0.47325091862662383,0.5,0.5368013397587436,0.10679145901981764,0.0,1.0,0.0,Naive,False
7,4.464688777923584,0.0,0.0,0.0,0.4719883117981175,0.5,0.5295713042483697,0.11008259520784694,0.0,1.0,0.0,Naive,False
8,4.343256711959839,0.0,0.0,0.0,0.4723999840909585,0.5,0.5168282702976474,0.10683879076503733,0.0,1.0,0.0,Naive,False
9,4.766246318817139,0.0,0.0,0.0,0.4741924954292216,0.5,0.513551507559178,0.09983392291134807,0.0,1.0,0.0,Naive,False
10,4.571076393127441,0.0,0.0,0.0,0.47482315346485765,0.5,0.5285249617391348,0.10102534719786353,0.0,1.0,0.0,Naive,False
