task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,2.5985682010650635,0.0,0.0,0.2647058823529412,0.6923076923076923,0.16363636363636364,0.9340188517566409,0.5060719232948618,0.8154868397720517,0.37796610169491524,Naive
2,2.0892176628112793,0.22519220454139102,-0.22519220454139102,0.18834806292425083,0.9932432432432432,0.11174882857204552,0.9144025907305396,0.4493800746834335,0.7022777403589233,0.5471019647281022,Naive
3,2.060190439224243,0.11259610227069551,-0.11259610227069551,0.2828908423428142,0.9913802691580469,0.17785839217464536,0.9162079787954057,0.5483531643552552,0.7085771000763726,0.5675063426414919,Naive
4,2.0582330226898193,0.07506406818046367,-0.07506406818046367,0.3368712196430964,0.9888623046722735,0.2169925202456337,0.9077710253362342,0.5632278065049439,0.7025641281470306,0.6273062855807244,Naive
5,2.0758910179138184,0.056298051135347756,-0.056298051135347756,0.33631212048062414,0.963503636841267,0.21503048028490473,0.8935425666691845,0.5141342544256768,0.7053829228092579,0.8749943383767501,Naive
6,2.0682528018951416,0.0450384409082782,-0.0450384409082782,0.3475890187228159,0.913426943744534,0.22760476531678572,0.8687099372293409,0.5038461690804299,0.6861968559523829,2.062905791011824,Naive
7,2.071094512939453,0.03772903738862992,-0.03772903738862992,0.34218465594097347,0.892101800837633,0.22282110623814502,0.8515680563248144,0.48513824140953676,0.6655016869863758,2.391343876094102,Naive
8,2.067822217941284,0.032339174904539934,-0.032339174904539934,0.32776696147198126,0.9055890757329289,0.21095993917372868,0.8507504094992663,0.45048285820510436,0.6661915670943248,2.156014200040051,Naive
9,2.0954227447509766,0.02829677804147244,-0.02829677804147244,0.3059919554767001,0.9123127000865205,0.19537767959638855,0.844547030547189,0.42087995745690276,0.6514599231736338,2.010519907419881,Naive
10,2.0695478916168213,0.025152691592419948,-0.025152691592419948,0.29251338249712344,0.916733603990912,0.1852416210384591,0.8325800966033781,0.3915767442924815,0.6481254796954458,1.892446640082148,Naive
