task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.139233112335205,0.1276595744680851,0.07692307692307693,0.375,0.5583145868035879,0.6778948772678762,0.9543756670224119,0.2988633725828849,0.6064620004179216,0.9807897545357525,0.16249060416665995,Replay,True
2,0.7617413997650146,0.1602381798791326,0.09338454482916762,0.6041666666666667,0.5621536205183459,0.7688600237387264,0.9518390319079407,0.24379008460395038,0.7352063954325054,0.933553380810786,0.2175248260807682,Replay,False
3,0.7441048622131348,0.33846387133185113,0.26032399606968665,0.6816893424036282,0.6368467927864726,0.7889718066313117,0.9349015692059955,0.4009783175653079,0.7665246291859388,0.8962542708589952,0.34299845620066266,Replay,False
4,0.7439773082733154,0.4176410069471642,0.3334705102797782,0.7122285452642596,0.660865553370791,0.7842018117042531,0.9116374148852658,0.4484185395672036,0.7671791527210869,0.8561750781442464,0.38117279191059883,Replay,False
5,0.7515125274658203,0.4757008261903487,0.38506220214005127,0.7460540226520856,0.6898618400684415,0.8003687619721337,0.9136625562373448,0.4856083362177312,0.7867216756082653,0.8546835012921818,0.4325810792445801,Replay,False
6,0.7417182922363281,0.49182798317794757,0.38910623926178717,0.7803462236960151,0.6931860356556429,0.8080826206063713,0.9110386279457879,0.4833533707955606,0.7956174492692226,0.8358190175167275,0.4479499852227893,Replay,False
7,0.7498159408569336,0.4796134190187065,0.3707964193672461,0.7999513942512155,0.6758709193237947,0.80046167320174,0.8982426060294557,0.4605827612554138,0.7872375627998027,0.8009719521522646,0.4338628906274127,Replay,False
8,0.7498621940612793,0.4465503459947613,0.3401419342109143,0.7937074699698136,0.6439843120999468,0.7765100832507946,0.8658719412342661,0.41939735346075047,0.7628655281467355,0.7593126965317757,0.3954847801761935,Replay,False
9,0.7519285678863525,0.39872474266174796,0.30327326598497617,0.7721844177509454,0.6187152092608638,0.7619896454703641,0.8413218308600607,0.375090569153504,0.7496952752890653,0.7517948731897828,0.35607021804140154,Replay,False
10,0.7372331619262695,0.4108563480300379,0.30905914456300826,0.7878231188329937,0.6264914933205283,0.7713079898205708,0.8511345463356863,0.39706945656352516,0.7599209755530026,0.7547928608081478,0.370243775943846,Replay,False
