task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.1952402591705322,0.10256410256410256,0.06451612903225806,0.25,0.5465840647048701,0.6172625400213447,0.9290955176093917,0.21165739722389013,0.49611618599948176,0.9845250800426895,0.11987676742787383,EWC,True
2,0.8332395553588867,0.11251242069861653,0.06186625874125874,0.7847222222222222,0.5154100642858163,0.8174006570100839,0.9306656538740066,0.19323573472259944,0.8124628898977264,0.8500790917979456,0.18747893194986037,EWC,False
3,0.8189706802368164,0.29304749615201886,0.20791083916083916,0.8383408919123205,0.5890833662778244,0.8200106810848456,0.933128220241341,0.404836699442191,0.8137779700320443,0.8016804702573707,0.31055587369371096,EWC,False
4,0.8286216259002686,0.3857400380684301,0.2877204596873715,0.8527941304727019,0.6229227017201847,0.811206929082865,0.9167632324886981,0.46447448399019264,0.8045472138059371,0.769619727693028,0.36201985895078215,EWC,False
5,0.8248059749603271,0.4483978556974625,0.34326537298549925,0.8652861518357886,0.65766086921935,0.8230539922051896,0.9203579347851193,0.5132806552898848,0.8174953664115975,0.7808218325745905,0.41619317090324703,EWC,False
6,0.8508405685424805,0.4682438878217032,0.3523975195591134,0.885730427734643,0.6649493632128934,0.8281093825799014,0.9197232036190681,0.5155989903277014,0.8216978276192073,0.7704883374251595,0.43487973209830844,EWC,False
7,0.8339996337890625,0.46006031871997255,0.3400122286352097,0.888710853285895,0.6527586870883539,0.8178902410429574,0.9076286554269105,0.4938440581467411,0.8102485729790289,0.7470696288000196,0.4231055453197694,EWC,False
8,0.8406345844268799,0.43057002025928637,0.3137607000558085,0.8791844966251582,0.6232159501528345,0.7943014529508042,0.8771512746461587,0.44929533000885225,0.7842026687586887,0.7094184092764502,0.38916186588406676,EWC,False
9,0.8384449481964111,0.384540501100042,0.27981667369515395,0.8481639970001406,0.6007343112413737,0.7784872564241067,0.8557960364987012,0.40104984601314003,0.7692800141792315,0.7088105158480728,0.3506402319227602,EWC,False
10,0.8189797401428223,0.3944735477642313,0.28645039094102315,0.8437047401572693,0.6085881099664741,0.7806980545912199,0.8585226909004804,0.40410363252524933,0.7724109833736652,0.7176913690251702,0.3590493502763605,EWC,False
