task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,1.1992323398590088,0.07017543859649122,0.04081632653061224,0.25,0.5279390815858096,0.6124599786552829,0.9560432230522945,0.24341281721035352,0.4936901754416847,0.9749199573105657,0.09189216985881492,LwF,True
2,1.1291565895080566,0.17449275362318842,0.1025542391137098,0.5972222222222222,0.5713631509132524,0.7689754591687195,0.9537364721702029,0.25054964381806893,0.7107190261472803,0.9407286961152167,0.2313470468890311,LwF,False
3,1.0810487270355225,0.3261062801932367,0.24088411262551415,0.6657218442932729,0.6255576251926521,0.7741795462586443,0.9294678868586481,0.3847275328587827,0.7352720652706873,0.8826372482240158,0.3216463355398114,LwF,False
4,1.0870378017425537,0.4060380434782609,0.312337841750689,0.7079452293738008,0.6485232720859785,0.7718756452709064,0.9076297612978322,0.43718193053007737,0.7419006473761997,0.8358060611680118,0.3617591363999907,LwF,False
5,1.0954504013061523,0.4593758893280633,0.3545872545326267,0.7544917767193796,0.6735039323540974,0.7903498254319367,0.9082741375633672,0.46817291995770577,0.765692563301746,0.8262078741444935,0.410746278469911,LwF,False
6,1.0718038082122803,0.46801025921108574,0.3534603932699425,0.7893857175472743,0.6698381805717543,0.7939348017986955,0.9078560505807155,0.47461877170655203,0.7709945542144494,0.7984838860501164,0.4187704774753105,LwF,False
7,1.0894732475280762,0.45138393878952526,0.3337818689730964,0.8124091079761566,0.6438534302094825,0.7810755600026543,0.8915688552648956,0.44648223126762543,0.7550382974685645,0.749742012029152,0.3996455094154216,LwF,False
8,1.093501091003418,0.42078140976129796,0.3065342435765676,0.8302776123362798,0.6017148835264294,0.7591882430732961,0.8554972113843509,0.4045151483883309,0.7225482417697267,0.6880988738103123,0.36774004716828307,LwF,False
9,1.1117522716522217,0.37506151151908657,0.27299571651250454,0.804691210965582,0.5711748781989014,0.7346201780534563,0.8319553007063719,0.36102611741355545,0.7016540487566918,0.6645491451413302,0.3279619955335228,LwF,False
10,1.0736157894134521,0.37459239740421496,0.2685177216247396,0.8224363755833096,0.5683010997372244,0.7381224459623963,0.8399352283313979,0.3687786654488396,0.7054611980853368,0.6538085163414828,0.3299190217920973,LwF,False
