task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,11.157655715942383,0.23529411764705882,0.2222222222222222,0.25,0.6159123377133079,0.6231323372465315,0.9551760939167556,0.29801516985112586,0.4990652949497348,0.996264674493063,0.23224253439303674,Naive,True
2,10.781943798065186,0.17531305903398925,0.10064350064350064,0.6944444444444444,0.5695479539970838,0.813522348187377,0.9580489359834989,0.3243576505166666,0.7945894826941335,0.9326002519303097,0.24718280667773682,Naive,False
3,9.907883405685425,0.33851586134552164,0.2472375110672983,0.7509448223733938,0.6322050629959428,0.8147892679872459,0.9400025437332594,0.45518671065765925,0.8017237497714009,0.8786337136010983,0.35033225048054933,Naive,False
4,9.726670742034912,0.4103697574100354,0.31316535957784597,0.7651316937031223,0.6496051482308409,0.797795676951973,0.911568915011483,0.48292652301473415,0.7873751936660399,0.8304596602008237,0.3750396077267766,Naive,False
5,10.06114387512207,0.46587542376242325,0.3607363692949298,0.795156202420125,0.6772611128565613,0.8112745703324087,0.9110656828429489,0.506136575130069,0.802648245697506,0.8273929382446926,0.4239838028615609,Naive,False
6,10.368571281433105,0.47315520982325077,0.3583336987991659,0.8232727389645621,0.6726963336989854,0.8111831247410768,0.9050886963524412,0.4927580558857036,0.8015623792264197,0.7990935105175915,0.42948821876257753,Naive,False
7,10.206295013427734,0.4584263906964762,0.3399642669654015,0.8414551263338319,0.6503757200967136,0.7988796815041113,0.8896517733442114,0.4621770588034296,0.7854969306190079,0.7563042366743906,0.412516064463967,Naive,False
8,10.148213148117065,0.4266633669085326,0.311817519466691,0.8523446641135314,0.6082912003014901,0.7739457904698734,0.8499649055899503,0.4177065702956189,0.749927505379923,0.6955469168262155,0.37753816517193106,Naive,False
9,10.772984981536865,0.38046187165026085,0.27777940092091913,0.8243063681009167,0.580774328484106,0.751941214335794,0.8294906785371797,0.3733949213430561,0.7305355957059255,0.6795760605706711,0.3377552364737605,Naive,False
10,10.363142251968384,0.3839251184474989,0.2763172503025114,0.8400900170051108,0.5821706810302192,0.7575209024260241,0.8372910032260812,0.3859059910294653,0.7363505222070086,0.6749517878469373,0.34393747355880283,Naive,False
