task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,54.734134674072266,0.2222222222222222,0.2,0.25,0.6092424512072137,0.6228655282817503,0.8160352187833512,0.07611061927225714,0.4989316227108432,0.9957310565635006,0.21990591572859625,Naive,True
2,55.25141906738281,0.13636363636363635,0.19642857142857142,0.1527777777777778,0.5643777958929922,0.5740018715781889,0.8154708095268637,0.06802306902449307,0.3668639713927444,0.9952259653786002,0.14740529839596558,Naive,False
3,55.58849835395813,0.09979797979797979,0.3531746031746032,0.10638699924414212,0.5249565907549353,0.551248297706516,0.7926229466827608,0.1943177329513611,0.2834154738416351,0.9961095961688899,0.12171672838678083,Naive,False
4,55.69152212142944,0.08044549977385798,0.3586309523809524,0.08267486481772197,0.5001386659335877,0.5389019684721946,0.7580727995353218,0.25422324651902145,0.23931080783159425,0.9951290721266675,0.09578563086025126,Naive,False
5,55.85630011558533,0.06755639981908639,0.31547619047619047,0.06783480710841486,0.4901399073470583,0.5307085282031936,0.7488442070693407,0.27132905141951713,0.20974373181436592,0.9935822492979727,0.07357424872898062,Naive,False
6,55.74901795387268,0.06338919843079895,0.2931998556998557,0.06054507018070717,0.48746772019320295,0.5258977920257332,0.7241084574999125,0.25868697764003085,0.20039276974710804,0.9912505138707596,0.06287743190578314,Naive,False
7,55.76688838005066,0.057341117451963006,0.28702844774273345,0.053465633153322,0.4854304592568298,0.5226132599057168,0.7109914090804449,0.24946548321894055,0.18670191542911366,0.9917608866581118,0.057587734515271265,Naive,False
8,55.792741537094116,0.06162385944985693,0.29062357598541805,0.053478857580585314,0.48973044373699826,0.5223955082409781,0.6923024239034744,0.2372658019202702,0.1921244284126023,0.991312158901371,0.06255340538488453,Naive,False
9,55.79267597198486,0.05477676395542838,0.2583320675425938,0.04753676229385361,0.4904358656118666,0.519267498553384,0.6794012063562509,0.21159230390841888,0.17077726970009094,0.9909982348129146,0.05483569010026426,Naive,False
10,55.74808645248413,0.05913515313365604,0.2924988607883344,0.04814022892161111,0.4932238920844787,0.5197812248885219,0.6975501220563138,0.23215267018225288,0.17678987112328842,0.9914222208554326,0.06477721346844258,Naive,False
