task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.804224967956543,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,EWC,True
2,6.046102523803711,0.02877697841726619,0.020930232558139535,0.04603580562659847,0.4630773254709034,0.4418168403634802,0.5556277174563463,0.03904666570396857,0.14332645208057823,0.8375978751003619,-0.029078013951652517,EWC,False
3,9.117589473724365,0.03169579240265996,0.025106050070722707,0.04476461115847305,0.46521257339541594,0.4500345594748465,0.6023039729567716,0.0668447170261292,0.1602172325259734,0.8553045077912199,-0.039520843405278235,EWC,False
4,8.975990772247314,0.04343476565030958,0.03858123055529937,0.05314840244044315,0.46911057384946603,0.457746125146642,0.6167891828879707,0.08646394950578985,0.18591571265516718,0.8623438478528408,-0.03923780193697939,EWC,False
5,9.396576404571533,0.04108193761921837,0.03788252830388862,0.04829072772436029,0.46513163013761033,0.4569362598937758,0.5954257887945026,0.09287886153574586,0.18057876559743366,0.8655817920631914,-0.051540482173383306,EWC,False
6,8.867132186889648,0.0557285727883286,0.06173237276857794,0.05693723631812141,0.4674281525820716,0.4623335850007447,0.6017241478444882,0.11933023753515044,0.19992256331001448,0.8677299336833681,-0.04747247678931652,EWC,False
7,9.329878091812134,0.05658662887672901,0.061385562869707186,0.0579994766982344,0.4657102812543865,0.46113476715317914,0.6003368079836671,0.12241838737150525,0.20465105425858302,0.864270057608124,-0.05340504509398636,EWC,False
8,9.207599639892578,0.05505436936752901,0.05882054058791686,0.05680367316508615,0.46591297618937566,0.4616300030848082,0.5997724297758702,0.12028659811301357,0.20490156211165828,0.8664563330045303,-0.054822935124605524,EWC,False
9,9.708318948745728,0.05367680896438298,0.05530089590404454,0.06155298851476738,0.4658540148468819,0.4621182715743201,0.5990301614875313,0.11247098081613076,0.2141211069694109,0.8626835546338729,-0.05294677366258033,EWC,False
10,9.533693075180054,0.048309128067944684,0.04977080631364009,0.05539768966329064,0.4657199804194481,0.4628000778079248,0.5797758958636849,0.1078935458117956,0.1927089962724698,0.8702024659525591,-0.05468673182201457,EWC,False
