task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.788289785385132,0.0,0.0,0.0,0.4979645134034872,0.5,0.49899737775721115,0.008108935128518973,0.0,1.0,0.0,EWC,True
2,6.029035329818726,0.0,0.0,0.0,0.4927620848913713,0.5,0.6425917925385163,0.08440765806526995,0.0,1.0,0.0,EWC,False
3,9.10353946685791,0.29808204192710186,0.23668800142949395,0.4880988559857449,0.6204769859663081,0.6993446812037889,0.7239396998135997,0.1746658462065531,0.6601619721541719,0.9105905064218329,0.28150673019110656,EWC,False
4,9.02927279472351,0.3411457718572107,0.2751488344297265,0.5137251487007181,0.6381827271429972,0.7086497776925007,0.7356401212098664,0.20886843777199776,0.6756023028450633,0.9035744066842833,0.3106092821302452,EWC,False
5,9.45504379272461,0.3834262835666121,0.3278640983868244,0.5244000323804878,0.6587440825523693,0.7161982417614838,0.7373744075075191,0.2588939992264665,0.6853894476475557,0.9079964511424796,0.3449365398619174,EWC,False
6,8.894535064697266,0.4067578992990821,0.3682200819890203,0.5176451882740625,0.6662571761845456,0.7123327221828566,0.7407317332000086,0.3054121723526602,0.681273848121568,0.9070202560916506,0.35590085097767266,EWC,False
7,9.363854169845581,0.4165316299593723,0.37394485040845166,0.5248755173314701,0.6693637925808682,0.7135741583617097,0.743528583220736,0.31004429187700433,0.6846138040372249,0.9022727993919492,0.36026929020732096,EWC,False
8,9.27078104019165,0.4063512461043503,0.35874464244913995,0.5215880149869736,0.6623610081008329,0.7084350826682706,0.736924772815438,0.3096339151547777,0.6802359259068744,0.8952821503495676,0.3475951990850175,EWC,False
9,9.74150037765503,0.3833193552025436,0.3325038227974661,0.5224573205112968,0.6493550753807055,0.70480363850743,0.7355377273512225,0.29031142255426867,0.6779559501914463,0.8871499565035632,0.3294274690634755,EWC,False
10,9.530872344970703,0.36190514853512823,0.3158067284995789,0.4875101666592192,0.6394243422796527,0.6894334216134933,0.7035062090158674,0.2698065664217605,0.6502529176456384,0.8913566765677674,0.30650074589041343,EWC,False
