task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.920169353485107,0.0,0.0,0.0,0.4979645134034872,0.5,0.7335458630554804,0.014462825694788642,0.0,1.0,0.0,EWC,True
2,6.030909538269043,0.0,0.0,0.0,0.4927620848913713,0.5,0.6807671276873433,0.08290366845415793,0.0,1.0,0.0,EWC,False
3,8.76465892791748,0.0,0.0,0.0,0.4880508630785434,0.5,0.7394628946649363,0.1622746191720887,0.0,1.0,0.0,EWC,False
4,8.605504035949707,0.0,0.0,0.0,0.48353714046235097,0.5,0.7445950001631396,0.19138827108850398,0.0,1.0,0.0,EWC,False
5,9.013006448745728,0.0,0.0,0.0,0.47972129099332933,0.5,0.7421185150193735,0.22086123229535765,0.0,1.0,0.0,EWC,False
6,8.46790337562561,0.0,0.0,0.0,0.47325091862662383,0.5,0.744954233204076,0.2618817952081183,0.0,1.0,0.0,EWC,False
7,8.976744413375854,0.0,0.0,0.0,0.4719883117981175,0.5,0.7455401788117932,0.2699045196800674,0.0,1.0,0.0,EWC,False
8,8.819152116775513,0.0,0.0,0.0,0.4723999840909585,0.5,0.7389153375460659,0.26047858618032416,0.0,1.0,0.0,EWC,False
9,9.319003582000732,0.0,0.0,0.0,0.4741924954292216,0.5,0.7377017448446628,0.24417527798834143,0.0,1.0,0.0,EWC,False
10,9.113144397735596,0.0,0.0,0.0,0.47482315346485765,0.5,0.706720166979313,0.22586301751555743,0.0,1.0,0.0,EWC,False
