task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.9782445430755615,0.024214734437464306,0.012255752110070529,1.0,0.26646356941552324,0.6705614684559618,0.6029277588118709,0.00968931528781257,0.5840573061882913,0.34112293691192347,0.06465847317909511,EWC,True
2,6.235668182373047,0.0,0.0,0.0,0.4927620848913713,0.5,0.6279586611909809,0.07791182401519842,0.0,1.0,0.0,EWC,False
3,9.193612813949585,0.0,0.0,0.0,0.4880508630785434,0.5,0.6942582426069941,0.15958612837481725,0.0,1.0,0.0,EWC,False
4,9.011008977890015,0.0,0.0,0.0,0.48353714046235097,0.5,0.7080199850402779,0.18699941591943195,0.0,1.0,0.0,EWC,False
5,9.530165195465088,0.0,0.0,0.0,0.47972129099332933,0.5,0.7056748312183789,0.21886754616290824,0.0,1.0,0.0,EWC,False
6,8.936989068984985,0.0,0.0,0.0,0.47325091862662383,0.5,0.7118371255078215,0.2602433492915347,0.0,1.0,0.0,EWC,False
7,9.440562963485718,0.0,0.0,0.0,0.4719883117981175,0.5,0.7143821275303608,0.2668807641408259,0.0,1.0,0.0,EWC,False
8,9.317506074905396,0.0,0.0,0.0,0.4723999840909585,0.5,0.7088841499625321,0.25812187353610433,0.0,1.0,0.0,EWC,False
9,9.875447988510132,0.0,0.0,0.0,0.4741924954292216,0.5,0.7091139034698857,0.24137568859885988,0.0,1.0,0.0,EWC,False
10,9.633961915969849,0.0,0.0,0.0,0.47482315346485765,0.5,0.6771975224511537,0.2230972375934272,0.0,1.0,0.0,EWC,False
