task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.855299949645996,0.0,0.0,0.0,0.4979645134034872,0.5,0.6762286851824364,0.01265601827050682,0.0,1.0,0.0,EWC,True
2,6.261738061904907,0.0,0.0,0.0,0.4927620848913713,0.5,0.6270259060947972,0.06999832236383996,0.0,1.0,0.0,EWC,False
3,9.331990957260132,0.0,0.0,0.0,0.4880508630785434,0.5,0.6972817443995281,0.14774390923732686,0.0,1.0,0.0,EWC,False
4,9.168356895446777,0.0,0.0,0.0,0.48353714046235097,0.5,0.7091059069359318,0.17310164382791182,0.0,1.0,0.0,EWC,False
5,9.630313634872437,0.0,0.0,0.0,0.47972129099332933,0.5,0.7047006476424245,0.19576382040311804,0.0,1.0,0.0,EWC,False
6,9.07168698310852,0.0,0.0,0.0,0.47325091862662383,0.5,0.7088643160959753,0.22877573616086289,0.0,1.0,0.0,EWC,False
7,9.579230785369873,0.0,0.0,0.0,0.4719883117981175,0.5,0.7096442898310003,0.2347693513238287,0.0,1.0,0.0,EWC,False
8,9.464420795440674,0.0,0.0,0.0,0.4723999840909585,0.5,0.704687279905069,0.22824710578270077,0.0,1.0,0.0,EWC,False
9,9.99401330947876,0.0,0.0,0.0,0.4741924954292216,0.5,0.7052971863419848,0.21408520887483648,0.0,1.0,0.0,EWC,False
10,9.732353448867798,0.0,0.0,0.0,0.47482315346485765,0.5,0.675571447390664,0.19893957663550105,0.0,1.0,0.0,EWC,False
