task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,16.648590564727783,0.0,0.0,0.0,0.4979645134034872,0.5,0.6774073847712012,0.013694431913632631,0.0,1.0,0.0,Naive,True
2,15.701466798782349,0.0,0.0,0.0,0.4927620848913713,0.5,0.6714262943059204,0.06204490079876428,0.0,1.0,0.0,Naive,False
3,15.280407428741455,0.0,0.0,0.0,0.4880508630785434,0.5,0.7270810491908698,0.13549146281622781,0.0,1.0,0.0,Naive,False
4,15.019755840301514,0.0,0.0,0.0,0.48353714046235097,0.5,0.7308237808106645,0.16587491457339165,0.0,1.0,0.0,Naive,False
5,15.975626230239868,0.0,0.0,0.0,0.47972129099332933,0.5,0.7276835102373717,0.1920797272652711,0.0,1.0,0.0,Naive,False
6,14.83255124092102,0.0,0.0,0.0,0.47325091862662383,0.5,0.7264828748772357,0.22636137880945492,0.0,1.0,0.0,Naive,False
7,15.738126754760742,0.0,0.0,0.0,0.4719883117981175,0.5,0.7281693785944429,0.23155808748398127,0.0,1.0,0.0,Naive,False
8,15.480511903762817,0.0,0.0,0.0,0.4723999840909585,0.5,0.7209633176194876,0.22341428016297388,0.0,1.0,0.0,Naive,False
9,16.656481742858887,0.0,0.0,0.0,0.4741924954292216,0.5,0.7206088646664319,0.20991070440942963,0.0,1.0,0.0,Naive,False
10,16.08543825149536,0.0,0.0,0.0,0.47482315346485765,0.5,0.6919370729992604,0.19594065691546675,0.0,1.0,0.0,Naive,False
