task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,16.435039281845093,0.0,0.0,0.0,0.4979645134034872,0.5,0.7242228586229879,0.014284429648062397,0.0,1.0,0.0,Naive,True
2,15.632868528366089,0.0,0.0,0.0,0.4927620848913713,0.5,0.7335294881604371,0.12986223205700587,0.0,1.0,0.0,Naive,False
3,15.283345937728882,0.0,0.0,0.0,0.4880508630785434,0.5,0.7813512164960481,0.22638450002361724,0.0,1.0,0.0,Naive,False
4,15.029853105545044,0.0,0.0,0.0,0.48353714046235097,0.5,0.7797438760483038,0.25508840077564565,0.0,1.0,0.0,Naive,False
5,15.946428060531616,0.0,0.0,0.0,0.47972129099332933,0.5,0.784556680079173,0.2776152689760742,0.0,1.0,0.0,Naive,False
6,14.814357995986938,0.0,0.0,0.0,0.47325091862662383,0.5,0.7802083236657165,0.3148318973053349,0.0,1.0,0.0,Naive,False
7,15.832278728485107,0.0,0.0,0.0,0.4719883117981175,0.5,0.7794490165193715,0.31500031931580835,0.0,1.0,0.0,Naive,False
8,15.574382543563843,0.0,0.0,0.0,0.4723999840909585,0.5,0.7696980266734865,0.2989998395354586,0.0,1.0,0.0,Naive,False
9,16.556867122650146,0.0,0.0,0.0,0.4741924954292216,0.5,0.7629722849880438,0.2764258702423417,0.0,1.0,0.0,Naive,False
10,16.107858657836914,0.0,0.0,0.0,0.47482315346485765,0.5,0.7399358439994592,0.2581107615305262,0.0,1.0,0.0,Naive,False
