task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,8.47506332397461,0.0,0.0,0.0,0.4979645134034872,0.5,0.5858089662659087,0.009470933881678396,0.0,1.0,0.0,Naive,True
2,7.821366786956787,0.0,0.0,0.0,0.4927620848913713,0.5,0.6909923128240301,0.07337156066651569,0.0,1.0,0.0,Naive,False
3,7.628334283828735,0.0,0.0,0.0,0.4880508630785434,0.5,0.7470846399819187,0.1608771516115266,0.0,1.0,0.0,Naive,False
4,7.48482871055603,0.0,0.0,0.0,0.48353714046235097,0.5,0.7477930113565294,0.19267597231121203,0.0,1.0,0.0,Naive,False
5,7.942102670669556,0.0,0.0,0.0,0.47972129099332933,0.5,0.7519102994305091,0.22810530341880733,0.0,1.0,0.0,Naive,False
6,7.430862903594971,0.0,0.0,0.0,0.47325091862662383,0.5,0.7490858180308128,0.2678984969963267,0.0,1.0,0.0,Naive,False
7,7.872876167297363,0.0,0.0,0.0,0.4719883117981175,0.5,0.7511283988518246,0.27370857756485123,0.0,1.0,0.0,Naive,False
8,7.751593351364136,0.0,0.0,0.0,0.4723999840909585,0.5,0.7440530387094868,0.2670465199103962,0.0,1.0,0.0,Naive,False
9,8.28086233139038,0.0,0.0,0.0,0.4741924954292216,0.5,0.7418091747481357,0.250103921781887,0.0,1.0,0.0,Naive,False
10,8.101241827011108,0.0,0.0,0.0,0.47482315346485765,0.5,0.7111422390124688,0.2327413877394547,0.0,1.0,0.0,Naive,False
