task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,2.203972578048706,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,Naive,True
2,1.720832109451294,0.13484041644326344,0.08322054137648939,0.4519374607923563,0.519327795617776,0.6437418539114355,0.643654845240036,0.05929835700192054,0.6076550150946074,0.8355462470305145,0.13355411227992187,Naive,False
3,1.6617915630340576,0.22769356344495062,0.15691442877355324,0.5161064553430523,0.5674596728847439,0.6813063558574601,0.6815658664144055,0.11478167373532903,0.654469760178462,0.8465062563718678,0.2128535983628664,Naive,False
4,1.6185905933380127,0.26920098570782136,0.1899371304806885,0.5414422576146718,0.5834489046811095,0.6889179015391885,0.689085217237848,0.14152606921392302,0.6672217201348523,0.8363935454637051,0.23798197294820428,Naive,False
5,1.7010600566864014,0.30716223864991576,0.2267678862027326,0.5519128248507561,0.6014446794029732,0.6953084419182807,0.6954422944772083,0.16843089949385165,0.6756937235448255,0.8387040589858051,0.263891120585339,Naive,False
6,1.6123898029327393,0.34208101708555155,0.26638446199638977,0.5569845130688956,0.6149955295653156,0.696279259757368,0.6963896585945245,0.20018474385831123,0.6782434885919648,0.8355740064458402,0.2819352978664694,Naive,False
7,1.6834356784820557,0.3523583203906731,0.2726318368876897,0.5663640839781908,0.6176863605714701,0.6975508304537344,0.6976484381637748,0.20635055742999997,0.6813991571668448,0.8287375769292779,0.28665136355681897,Naive,False
8,1.7179486751556396,0.34405526746712717,0.2630265414872548,0.5618078897202332,0.6114053771521113,0.6918263902860119,0.691900774294786,0.1990385358578433,0.6762574399655832,0.8218448908517905,0.2762477999912883,Naive,False
9,1.767017126083374,0.3248346836607841,0.24492966788211426,0.5644928853822887,0.6001739189572921,0.6893353503382611,0.6894112674460702,0.18552759503284888,0.6749162916337667,0.8141778152942334,0.26326402082676065,Naive,False
10,1.6897799968719482,0.30591643268601004,0.23115098680818855,0.5265270091663348,0.5920144429312143,0.673392319311312,0.6734641998943995,0.175080564177926,0.6476397608585988,0.8202576294562892,0.24163155536128142,Naive,False
