task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,3.526156425476074,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,Naive,True
2,3.066864490509033,0.13466643443861123,0.08271262921210354,0.4570525503064228,0.518896317824769,0.6456201479179666,0.6455674178137947,0.05949165212098764,0.6100166457532291,0.8341877455295102,0.1343093953413418,Naive,False
3,3.009761095046997,0.23007492059120696,0.15733883343215826,0.5284054039079855,0.5682253568199684,0.6863286352621936,0.686291334853801,0.11723527431635537,0.660561065237646,0.8442518666164016,0.2171613574857556,Naive,False
4,2.9745194911956787,0.27241454738391513,0.19106111989277155,0.5540221737363582,0.584750262710771,0.6942196471035429,0.6941916717972484,0.1444644317426858,0.673570558376844,0.8344171204707274,0.24319998541177168,Naive,False
5,3.0925416946411133,0.3088945937725227,0.2262588892673417,0.5628425586139062,0.6017511587071371,0.6993900095525436,0.6993908180092427,0.17018650030023058,0.6807913992536634,0.835937460491181,0.2671093705157648,Naive,False
6,2.947744607925415,0.34454186025728645,0.26632685216722923,0.5680733828856689,0.6157777509585841,0.7005050954595097,0.7005283085264921,0.20239916309616232,0.6835202815877066,0.8329368080333502,0.28582779206820946,Naive,False
7,3.0688281059265137,0.3534491147099703,0.2716060368681935,0.5752346135848939,0.6175849429810866,0.7004699016632152,0.7004638827049333,0.2074427501867167,0.68522268822064,0.8257051897415364,0.2886994641086403,Naive,False
8,3.0609841346740723,0.343890616880658,0.26120507692086026,0.5686792897357851,0.6104242314002228,0.6934446074453058,0.6934401864733679,0.19945598938761447,0.6786588418362214,0.8182099251548267,0.27658946466216755,Naive,False
9,3.2165632247924805,0.3236799235864151,0.24266725312965023,0.5693438834856048,0.5983401313757518,0.6894678149186774,0.6894540594584716,0.18545556115199438,0.675739372231515,0.80959174635175,0.26213577047305625,Naive,False
10,3.107386827468872,0.30445211645825776,0.22875398260529778,0.5304189738100301,0.5900957602532344,0.6731946416896502,0.6732006152570512,0.17492964797050556,0.6478170578164764,0.8159703095692702,0.24010463730780085,Naive,False
