task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,21.974875450134277,0.0350109409190372,0.017882544198333673,0.8301886792452831,0.40264540510932684,0.728722289645779,0.7286262474570647,0.016240997890209167,0.7216236880869614,0.6272559000462749,0.08467638283504819,Naive,True
2,21.1952862739563,0.1508725153080926,0.09387778334737974,0.5170100854123438,0.5277914476522353,0.6765168484154838,0.7324669912898494,0.07525608665671732,0.6545155542933542,0.8360236114186238,0.1586992958677725,Naive,False
3,21.068405866622925,0.2762847148568876,0.1990661917948445,0.5913400569415626,0.5960937195854606,0.7250618974747759,0.7752406060724709,0.17055009844009805,0.7090339333595906,0.8587837380079891,0.27169604804488084,Naive,False
4,20.88786745071411,0.3236917388689846,0.23538634149335386,0.6237547323106393,0.6161993145209271,0.7371390463639635,0.7748913263345009,0.20096553203713102,0.7247508599727903,0.8505233604172878,0.3054273207010653,Naive,False
5,21.717982530593872,0.37773474689355807,0.28308802501571584,0.6583111451558707,0.6435682410621768,0.7558289532732,0.787208557107289,0.24319179760152046,0.7457907603845146,0.8533467613905292,0.35208628751569676,Naive,False
6,20.98296070098877,0.40782707209798225,0.31936236934629664,0.6539760289782125,0.6546064588425823,0.7517993887970887,0.7770832421768596,0.27238209105890016,0.7422941070923521,0.8496227486159648,0.364658105211021,Naive,False
7,21.576263189315796,0.4141027740119369,0.3213833681175882,0.6602283406947117,0.6548052728288601,0.7506271783041006,0.7724172326216036,0.2750329255395664,0.7422873102433619,0.8410260159134898,0.36515086679359643,Naive,False
8,21.44178009033203,0.4117263010263498,0.3146169613752339,0.6713949281994375,0.6519575974234415,0.7528896421639776,0.7712742508885929,0.27007485207914705,0.7455961689782151,0.8343843561285178,0.3640235077108507,Naive,False
9,21.836434364318848,0.3882577632162575,0.29328686649230573,0.6696818310780334,0.638293002330949,0.7481062763868815,0.7629605085941971,0.2509524481588742,0.7413766926706495,0.8265307216957297,0.346150881601474,Naive,False
10,21.59145498275757,0.3679330217770286,0.27872953003293127,0.6275819113797957,0.6291602041793911,0.7299215964961661,0.7645986619077766,0.2433848982471091,0.7140111720384867,0.8322612816125365,0.32203730365002825,Naive,False
