task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,19.65246295928955,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,Naive,True
2,18.620850801467896,0.13517613349064556,0.08125516795091495,0.559462915601023,0.5111654912795575,0.6830097716267695,0.6843688284053322,0.06122343764642228,0.6708512034421474,0.806556627652516,0.14684314066342252,Naive,False
3,18.24512791633606,0.23835583665693091,0.16543492934740608,0.5951974992895709,0.5685458233071986,0.7132218951995185,0.7139333613062533,0.12439467122817043,0.7026426347524771,0.831246291109466,0.2332111338709549,Naive,False
4,18.237136363983154,0.2723505655728196,0.1942936541919314,0.5867784376662833,0.5821739448859838,0.7071037241708882,0.7084161007942876,0.145648662343784,0.6962065048483976,0.8274290106754931,0.24641666335858198,Naive,False
5,18.42073631286621,0.3023024217638303,0.22599344558075027,0.5746175553278319,0.59647974652498,0.7034653061165426,0.704799750661251,0.16654757061526157,0.6908342241759782,0.832313056905253,0.2615284724867018,Naive,False
6,18.177626848220825,0.32758546312008885,0.25175866257572244,0.5739717081228296,0.6021117860711943,0.6967364977483618,0.6971969995795595,0.19026927873258795,0.6851428030000526,0.8195012873738942,0.2649213147394761,Naive,False
7,18.366345167160034,0.3393405702232341,0.25979876777046196,0.5794975509928678,0.6063594329003869,0.6973261405149934,0.698342182584305,0.1978823029158014,0.6865983922628837,0.8151547300371191,0.27126014654901703,Naive,False
8,18.630075693130493,0.33740516441002444,0.25410736870355854,0.5896814397398419,0.6032665679106475,0.6982599912362296,0.698721149141334,0.19472411057627942,0.6887081962668302,0.8068385427326175,0.27027890866957227,Naive,False
9,18.728415727615356,0.31754916899863117,0.2363255621000216,0.5809737483459227,0.5926975094989841,0.6917447738385898,0.6928095102571241,0.1809670332446084,0.6818107212051229,0.802515799331257,0.2552117847089529,Naive,False
10,21.726889610290527,0.2987420785121352,0.22219714000796445,0.5432555204307618,0.5840860197472442,0.6749011484400882,0.6756470236270381,0.17074754201465953,0.6550561562462237,0.8065467764494146,0.23302375298820444,Naive,False
