task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.07135009765625,0.0,0.0,0.0,0.49666936198067074,0.49741631960512106,0.6695755808369641,0.012326967591885651,0.0,0.9948326392102421,-0.006489812462534796,EWC,True
2,4.96623969078064,0.14454774205041418,0.09133689038574576,0.4386671813926555,0.5290300033764419,0.645470118360814,0.667070441115325,0.08968949849706301,0.6038040372409734,0.8522730553289726,0.14241231446414365,EWC,False
3,7.587022542953491,0.0,0.0,0.0,0.4880508630785434,0.5,0.7661144142305648,0.1768992081585884,0.0,1.0,0.0,EWC,False
4,7.371402740478516,0.0,0.0,0.0,0.48353714046235097,0.5,0.7581255550639883,0.20795191321541853,0.0,1.0,0.0,EWC,False
5,7.842814683914185,0.0,0.0,0.0,0.47972129099332933,0.5,0.7708132947116091,0.2527753851429526,0.0,1.0,0.0,EWC,False
6,7.341546297073364,0.0,0.0,0.0,0.47325091862662383,0.5,0.7635980534004355,0.29698326469277453,0.0,1.0,0.0,EWC,False
7,7.840517997741699,0.0,0.0,0.0,0.4719883117981175,0.5,0.7633279155993126,0.3006179599140795,0.0,1.0,0.0,EWC,False
8,7.722340822219849,0.0,0.0,0.0,0.4723999840909585,0.5,0.7498788393029558,0.29482756959182665,0.0,1.0,0.0,EWC,False
9,8.246769189834595,0.0,0.0,0.0,0.4741924954292216,0.5,0.7448703787097161,0.27601920488408876,0.0,1.0,0.0,EWC,False
10,8.01936149597168,0.0,0.0,0.0,0.47482315346485765,0.5,0.7343689699141895,0.2592856887821913,0.0,1.0,0.0,EWC,False
