task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.321670770645142,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,EWC,True
2,4.9845802783966064,0.14534153302880745,0.09203602072600142,0.4373884090141389,0.5300468881248867,0.6459238114629644,0.6404922346262706,0.10753790219587658,0.6037775365917886,0.8544592139117898,0.1432099105477442,EWC,False
3,7.643601894378662,0.16890580741384453,0.10269615967017322,0.5913947108330161,0.4840133391732169,0.6341571739664091,0.6920775275174949,0.14354840198083163,0.6272983996433578,0.6769196370998022,0.1500063334833784,EWC,False
4,7.609571218490601,0.20308748113748404,0.12516057234134428,0.6286690756303549,0.49340429404455377,0.6436221323759894,0.7055349727187565,0.17161652500060287,0.6376036165370562,0.658575189121624,0.16747126948468402,EWC,False
5,8.085567712783813,0.23102189229279232,0.1466388879529106,0.6332382908073142,0.5068219953951851,0.6471428606282784,0.705559478630603,0.20296868868480816,0.6423137863734821,0.6610474304492426,0.17925027603435156,EWC,False
6,7.595673084259033,0.26549449596075564,0.1747977739437673,0.64682704199987,0.5174859934606079,0.6475527268672135,0.7089360548059424,0.23682810371819887,0.6429823043852275,0.648278411734557,0.19013462852181748,EWC,False
7,8.010252475738525,0.27296982256325025,0.1790443396193926,0.6562148389172818,0.517011278956156,0.6470315889666327,0.7114148678223086,0.2436941951705501,0.6425899961476552,0.6378483390159834,0.19096333467379983,EWC,False
8,7.901592254638672,0.2649082300311633,0.1724191606949781,0.6495084968731344,0.5094021452331938,0.6391514654329009,0.7044425719413306,0.23346751508942526,0.635228142370504,0.6287944339926675,0.1794217243566305,EWC,False
9,8.428470373153687,0.2485507461646757,0.1603862957981335,0.6567777890757676,0.49654515962515433,0.6361943867685306,0.7020930321072427,0.2167814110049594,0.6317493247540473,0.6156109844612936,0.16983721489442066,EWC,False
10,8.188549995422363,0.22951138151799663,0.1478067857151755,0.6093464556658211,0.4852883753056667,0.6110307347950993,0.6701508198092435,0.20179138148904124,0.6012918197295741,0.6127150139243775,0.14041327506016238,EWC,False
