task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,8.479185104370117,0.0,0.0,0.0,0.4979645134034872,0.5,0.6914189942345583,0.015722390277283442,0.0,1.0,0.0,EWC,True
2,7.908425569534302,0.13878676692747044,0.08703804938092825,0.433552091878589,0.5249012897418406,0.6408821744790776,0.653420190084198,0.08790288348625822,0.5991010583071146,0.8482122570795663,0.13570640296339362,EWC,False
3,12.351561546325684,0.24049822020453207,0.17068232551626428,0.5045902834746149,0.5780116762702017,0.6828334262858822,0.7168582667841843,0.159634760599466,0.6518294479787184,0.8610765690971492,0.2246249933899934,EWC,False
4,12.13831639289856,0.28208752506398027,0.2042687273774217,0.5311272763643504,0.5941841186501604,0.6912594110052029,0.7295186347543998,0.18965208962360083,0.6660429681802174,0.8513915456460553,0.2504053093302059,EWC,False
5,12.790314674377441,0.32333757245744343,0.24607365256660502,0.5442380404276996,0.6142765160566751,0.6997118575535441,0.7374392372359386,0.2347695264603804,0.6769632982928644,0.8551856746793884,0.28084660058977934,EWC,False
6,11.980393886566162,0.3576984946462132,0.2863680056557664,0.5500229284265918,0.6275676402936466,0.7010930389497959,0.737975729627664,0.2633469614103576,0.6801590918150856,0.8521631494729998,0.2993387679019797,EWC,False
7,12.737990617752075,0.36942887716893585,0.2941219973610757,0.5600799034523792,0.6315271285009223,0.7035352368148903,0.7413448719084875,0.2713083440546991,0.6846367700475655,0.8469905701774012,0.3059825979268559,EWC,False
8,12.54714822769165,0.3597759236136923,0.28254583467095207,0.5564872944382107,0.6242035881171554,0.6976148087512857,0.7335820177062269,0.25931782926425817,0.6795806781301291,0.8387423230643608,0.2941305049308309,EWC,False
9,13.404659748077393,0.3386216826679533,0.2622273801291836,0.5572496413105864,0.6117257064415704,0.6936839566274868,0.7296423672395346,0.2390201657445513,0.6768286277399137,0.8301182719443873,0.27860286530574496,EWC,False
10,13.02212142944336,0.31773987306896323,0.2461515045995763,0.5195341558525135,0.6019842346030666,0.6768479017630507,0.6972019331176994,0.22239478180949246,0.6487414569086796,0.8341616476735878,0.25466969480573487,EWC,False
