task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.326296091079712,0.0,0.0,0.0,0.4979645134034872,0.5,0.7094585548852005,0.01722735974761933,0.0,1.0,0.0,EWC,True
2,4.807139873504639,0.0,0.0,0.0,0.4927620848913713,0.5,0.6484251139604135,0.08240129476474005,0.0,1.0,0.0,EWC,False
3,7.471513271331787,0.0,0.0,0.0,0.4880508630785434,0.5,0.715397617792676,0.173570932207012,0.0,1.0,0.0,EWC,False
4,7.350029945373535,0.0,0.0,0.0,0.48353714046235097,0.5,0.7286080738414547,0.20612373724841987,0.0,1.0,0.0,EWC,False
5,7.755663871765137,0.0,0.0,0.0,0.47972129099332933,0.5,0.7294524405394807,0.24157544622765315,0.0,1.0,0.0,EWC,False
6,7.268188953399658,0.0,0.0,0.0,0.47325091862662383,0.5,0.7337509835454444,0.28778511692818065,0.0,1.0,0.0,EWC,False
7,7.707209825515747,0.0,0.0,0.0,0.4719883117981175,0.5,0.7375144846460164,0.2926042153395813,0.0,1.0,0.0,EWC,False
8,7.58354377746582,0.0,0.0,0.0,0.4723999840909585,0.5,0.7323200161994674,0.284446065471013,0.0,1.0,0.0,EWC,False
9,8.055768728256226,0.0,0.0,0.0,0.4741924954292216,0.5,0.7323434594615161,0.2660872222506396,0.0,1.0,0.0,EWC,False
10,7.904785871505737,0.0,0.0,0.0,0.47482315346485765,0.5,0.6988403948458015,0.24652410900525132,0.0,1.0,0.0,EWC,False
