task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.276756525039673,0.0,0.0,0.0,0.4979645134034872,0.5,0.7083817182238598,0.013419414719365544,0.0,1.0,0.0,EWC,True
2,4.7933032512664795,0.0,0.0,0.0,0.4927620848913713,0.5,0.6650255924180994,0.07845372569917836,0.0,1.0,0.0,EWC,False
3,7.455503463745117,0.0,0.0,0.0,0.4880508630785434,0.5,0.7102455433170096,0.1633982047813353,0.0,1.0,0.0,EWC,False
4,7.334206819534302,0.0,0.0,0.0,0.48353714046235097,0.5,0.7224622782770158,0.1943310876246913,0.0,1.0,0.0,EWC,False
5,7.7427802085876465,0.0,0.0,0.0,0.47972129099332933,0.5,0.7230614775833895,0.22787857539945283,0.0,1.0,0.0,EWC,False
6,7.286287784576416,0.0,0.0,0.0,0.47325091862662383,0.5,0.7283957243456638,0.2743230154665716,0.0,1.0,0.0,EWC,False
7,7.723201274871826,0.0,0.0,0.0,0.4719883117981175,0.5,0.7319522688467733,0.2797302859583567,0.0,1.0,0.0,EWC,False
8,7.590661287307739,0.0,0.0,0.0,0.4723999840909585,0.5,0.727679532311454,0.2750395542829431,0.0,1.0,0.0,EWC,False
9,8.07778000831604,0.0,0.0,0.0,0.4741924954292216,0.5,0.7286743670668664,0.25713466829862985,0.0,1.0,0.0,EWC,False
10,7.916802883148193,0.0,0.0,0.0,0.47482315346485765,0.5,0.6991842268069416,0.23862319920244973,0.0,1.0,0.0,EWC,False
