task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.287090539932251,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,EWC,True
2,4.982823610305786,0.0,0.0,0.0,0.4927620848913713,0.5,0.6551719481786735,0.07781856096333077,0.0,1.0,0.0,EWC,False
3,7.568501710891724,0.0,0.0,0.0,0.4880508630785434,0.5,0.6981412066178235,0.1699838617828929,0.0,1.0,0.0,EWC,False
4,7.433851003646851,0.0,0.0,0.0,0.48353714046235097,0.5,0.7057790315407462,0.1973163024272097,0.0,1.0,0.0,EWC,False
5,7.892129182815552,0.0,0.0,0.0,0.47972129099332933,0.5,0.7131715952153419,0.22915013219425145,0.0,1.0,0.0,EWC,False
6,7.3652184009552,0.0,0.0,0.0,0.47325091862662383,0.5,0.7114996133744059,0.2656453385302165,0.0,1.0,0.0,EWC,False
7,7.82317590713501,0.0,0.0,0.0,0.4719883117981175,0.5,0.7123435935293786,0.26716518957882884,0.0,1.0,0.0,EWC,False
8,7.735979318618774,0.0,0.0,0.0,0.4723999840909585,0.5,0.7086373144654323,0.2613881375958641,0.0,1.0,0.0,EWC,False
9,8.237979412078857,0.0,0.0,0.0,0.4741924954292216,0.5,0.7057450178036135,0.24484791166863693,0.0,1.0,0.0,EWC,False
10,8.006789207458496,0.0,0.0,0.0,0.47482315346485765,0.5,0.688878082470068,0.22840105727279525,0.0,1.0,0.0,EWC,False
