task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.3020806312561035,0.0,0.0,0.0,0.4979645134034872,0.5,0.5131646919810593,0.007769487845068124,0.0,1.0,0.0,EWC,True
2,4.981501340866089,0.0,0.0,0.0,0.4927620848913713,0.5,0.6350064943154411,0.08327710366801659,0.0,1.0,0.0,EWC,False
3,7.641847133636475,0.0,0.0,0.0,0.4880508630785434,0.5,0.7020932796902123,0.16369024387499448,0.0,1.0,0.0,EWC,False
4,7.490386486053467,0.0,0.0,0.0,0.48353714046235097,0.5,0.7146133031787119,0.1934432145206514,0.0,1.0,0.0,EWC,False
5,7.97265887260437,0.0,0.0,0.0,0.47972129099332933,0.5,0.7107592327376993,0.22798499840842457,0.0,1.0,0.0,EWC,False
6,7.452609062194824,0.0,0.0,0.0,0.47325091862662383,0.5,0.7162668308833618,0.2711243043550324,0.0,1.0,0.0,EWC,False
7,7.899649381637573,0.0,0.0,0.0,0.4719883117981175,0.5,0.718866636939181,0.27832257986429626,0.0,1.0,0.0,EWC,False
8,7.800419569015503,0.0,0.0,0.0,0.4723999840909585,0.5,0.7133405319170512,0.2695770288474546,0.0,1.0,0.0,EWC,False
9,8.323196172714233,0.0,0.0,0.0,0.4741924954292216,0.5,0.7134006090291833,0.25166277291738676,0.0,1.0,0.0,EWC,False
10,8.085819721221924,0.0,0.0,0.0,0.47482315346485765,0.5,0.6833155350216067,0.23284444111731867,0.0,1.0,0.0,EWC,False
