task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.349137306213379,0.0,0.0,0.0,0.4979645134034872,0.5,0.4978405059386087,0.008108935128518973,0.0,1.0,0.0,EWC,True
2,4.991907596588135,0.14765710220255676,0.09402841710218247,0.4361096366356223,0.5321559044146944,0.646952950907461,0.6406201853500639,0.0877563358658934,0.6042330030321514,0.8577962651792997,0.14549075084400778,EWC,False
3,7.638663291931152,0.0,0.0,0.0,0.4880508630785434,0.5,0.702602391551788,0.16639644094880957,0.0,1.0,0.0,EWC,False
4,7.528219938278198,0.0,0.0,0.0,0.48353714046235097,0.5,0.7110316379427428,0.19892994595390118,0.0,1.0,0.0,EWC,False
5,7.990530014038086,0.0,0.0,0.0,0.47972129099332933,0.5,0.7066211761595651,0.23522452794252216,0.0,1.0,0.0,EWC,False
6,7.435027360916138,0.0,0.0,0.0,0.47325091862662383,0.5,0.7121487445839932,0.2831517751638296,0.0,1.0,0.0,EWC,False
7,7.9203197956085205,0.0,0.0,0.0,0.4719883117981175,0.5,0.7135217089389335,0.28744652024943035,0.0,1.0,0.0,EWC,False
8,7.81778883934021,0.0,0.0,0.0,0.4723999840909585,0.5,0.7049102306798785,0.2816607063678039,0.0,1.0,0.0,EWC,False
9,8.313849210739136,0.0,0.0,0.0,0.4741924954292216,0.5,0.7043791317643976,0.26345796457060894,0.0,1.0,0.0,EWC,False
10,8.096494436264038,0.0,0.0,0.0,0.47482315346485765,0.5,0.6746069485553505,0.24503151958891914,0.0,1.0,0.0,EWC,False
